[  557.244327] KernelSU: tp_marker: unmark process: pid:10271, uid: 10249, comm:GoogleApiHandle
[  557.244330] KernelSU: tp_marker: unmark process: pid:10272, uid: 10249, comm:HwBinder:10250_
[  557.244333] KernelSU: tp_marker: unmark process: pid:10278, uid: 10249, comm:Scheduler Threa
[  557.244337] KernelSU: tp_marker: unmark process: pid:10313, uid: 10249, comm:BG Thread #0
[  557.244340] KernelSU: tp_marker: unmark process: pid:10314, uid: 10249, comm:pool-2-thread-1
[  557.244343] KernelSU: tp_marker: unmark process: pid:10334, uid: 10249, comm:DSEServiceExecu
[  557.244347] KernelSU: tp_marker: unmark process: pid:10335, uid: 10249, comm:binder:10250_3
[  557.244350] KernelSU: tp_marker: unmark process: pid:11570, uid: 10249, comm:Primes-2
[  557.244356] KernelSU: tp_marker: unmark process: pid:10268, uid: 10510, comm:m.ghostlock.app
[  557.244360] KernelSU: tp_marker: unmark process: pid:10275, uid: 10510, comm:Signal Catcher
[  557.244363] KernelSU: tp_marker: unmark process: pid:10280, uid: 10510, comm:perfetto_hprof_
[  557.244366] KernelSU: tp_marker: unmark process: pid:10281, uid: 10510, comm:ADB-JDWP Connec
[  557.244370] KernelSU: tp_marker: unmark process: pid:10282, uid: 10510, comm:Jit thread pool
[  557.244373] KernelSU: tp_marker: unmark process: pid:10283, uid: 10510, comm:HeapTaskDaemon
[  557.244377] KernelSU: tp_marker: unmark process: pid:10284, uid: 10510, comm:ReferenceQueueD
[  557.244380] KernelSU: tp_marker: unmark process: pid:10285, uid: 10510, comm:FinalizerDaemon
[  557.244384] KernelSU: tp_marker: unmark process: pid:10286, uid: 10510, comm:FinalizerWatchd
[  557.244387] KernelSU: tp_marker: unmark process: pid:10287, uid: 10510, comm:binder:10268_1
[  557.244392] KernelSU: tp_marker: unmark process: pid:10294, uid: 10510, comm:binder:10268_2
[  557.244395] KernelSU: tp_marker: unmark process: pid:10295, uid: 10510, comm:binder:10268_3
[  557.244400] KernelSU: tp_marker: unmark process: pid:10317, uid: 10510, comm:Profile Saver
[  557.244403] KernelSU: tp_marker: unmark process: pid:10319, uid: 10510, comm:binder:10268_4
[  557.244407] KernelSU: tp_marker: unmark process: pid:14540, uid: 10510, comm:binder:10268_5
[  557.244410] KernelSU: tp_marker: unmark process: pid:14542, uid: 10510, comm:RenderThread
[  557.244413] KernelSU: tp_marker: unmark process: pid:14548, uid: 10510, comm:DefaultDispatch
[  557.244417] KernelSU: tp_marker: unmark process: pid:14549, uid: 10510, comm:DefaultDispatch
[  557.244421] KernelSU: tp_marker: unmark process: pid:14550, uid: 10510, comm:DefaultDispatch
[  557.244424] KernelSU: tp_marker: unmark process: pid:14552, uid: 10510, comm:DefaultDispatch
[  557.244428] KernelSU: tp_marker: unmark process: pid:14553, uid: 10510, comm:VsyncReceiver
[  557.244432] KernelSU: tp_marker: unmark process: pid:14557, uid: 10510, comm:SurfaceSyncGrou
[  557.244436] KernelSU: tp_marker: unmark process: pid:14558, uid: 10510, comm:hwuiTask0
[  557.244441] KernelSU: tp_marker: unmark process: pid:14559, uid: 10510, comm:hwuiTask1
[  557.244445] KernelSU: tp_marker: unmark process: pid:14564, uid: 10510, comm:binder:10268_5
[  557.244448] KernelSU: tp_marker: unmark process: pid:14569, uid: 10510, comm:ksu-log-tailer
